	0	1	2	3	4	5	6	7	8	9
social	0.0	0.010857068002223969	0.0	0.0007137759239412844	0.0	0.0	0.003093590261414647	0.0007137759239412844	0.0	0.0
appointed	0.0	0.009516674093902111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
donation	0.0	0.009516673162579536	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0007137759239412844	0.0	0.0
education	0.0	0.009516673162579536	0.0	0.0007137759239412844	0.0	0.0007137759239412844	0.005089550279080868	0.0	0.0	0.0
university	0.0	0.008176278322935104	0.0	0.0	0.0057292114943265915	0.0	0.0	0.0	0.0	0.0
first	0.0	0.006835881620645523	0.0	0.0007137759239412844	0.0038810246624052525	0.0	0.005089550744742155	0.0	0.0	0.0
undergraduate	0.0	0.005495483987033367	0.0	0.0	0.0038810246624052525	0.0	0.0	0.0	0.0	0.0
admit	0.0	0.005495483987033367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
work	0.0	0.005495483987033367	0.0	0.0007137759239412844	0.0	0.0	0.0	0.0	0.0	0.0
development	0.0	0.005495483987033367	0.0	0.0	0.0075773922726511955	0.0007137759239412844	0.0	0.0	0.007746223360300064	0.008314910344779491
serve	0.0	0.005495483987033367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
college	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
generous	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
residential	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
enhance	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
medical	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
student	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
member	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
new	0.0	0.004155085422098637	0.0	0.0	0.0075773922726511955	0.0	0.009081459604203701	0.0007137759239412844	0.0	0.0
part	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
phd	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
society	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spirit	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
teaching	0.0	0.004155085422098637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
significant	0.0	0.004155084956437349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ceremony	0.0	0.004155084956437349	0.0	0.0	0.003881024196743965	0.0	0.0	0.0	0.0	0.0
established	0.0	0.004155084956437349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mainland	0.0	0.004155084956437349	0.0026885822881013155	0.0007137759239412844	0.0	0.0	0.0	0.0007137759239412844	0.0	0.0
expert	0.0	0.0028146812692284584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
important	0.0	0.0028146812692284584	0.0	0.0	0.003881024196743965	0.0	0.0	0.0	0.0	0.0
facilitating	0.0	0.0028146812692284584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
four-year	0.0	0.0028146812692284584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
welfare	0.0	0.0028146812692284584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
professional	0.0	0.0028146812692284584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
