;idno;univ;year;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
14;cu0034;CUHK;2010;0.0;0.06580943614244461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7619838714599609;0.0;0.0;0.0;0.0387517437338829;0.0;0.0;0.0;0.0;0.0;0.02295668236911297;0.0;0.011209829710423945;0.0;0.0;0.08090594410896301;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;cu0035;CUHK;2010;0.0;0.0;0.0;0.0;0.11117852479219437;0.0;0.0;0.4340214729309082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05962300300598145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014600662514567375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28674063086509705;0.07941985130310059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;cu0036;CUHK;2010;0.4887988269329071;0.0;0.0;0.0;0.0;0.0;0.0;0.048216618597507484;0.0;0.0;0.0;0.0173182375729084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08480169624090195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3519985377788544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;cu0040;CUHK;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6737300157546997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3209893703460693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;cu0041;CUHK;2010;0.04180582612752914;0.3721759617328644;0.0;0.0;0.0;0.0;0.0;0.04795568436384201;0.0;0.0;0.0;0.0;0.040216173976659775;0.0;0.019081022590398792;0.0;0.0;0.0;0.0;0.0;0.0;0.033752981573343284;0.0;0.0;0.0;0.0;0.0;0.036037810146808624;0.0;0.0;0.08161791414022446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13597865402698514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1866897940635681;0.0
19;cu0044;CUHK;2010;0.2658790051937103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032082874327898026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09210944920778276;0.0;0.0;0.0;0.0;0.0;0.0;0.0785115584731102;0.0;0.0;0.0;0.0;0.0;0.0;0.51952064037323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;cu0045;CUHK;2010;0.28314265608787537;0.0;0.0;0.0;0.06510134041309358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1858327686786652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0827367752790451;0.0;0.0;0.0;0.3253732323646545;0.0;0.0;0.0;0.0;0.0408356599509716;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;cu0048;CUHK;2010;0.07077828049659729;0.18682889640331268;0.0;0.0;0.0;0.0;0.025063293054699898;0.0977460965514183;0.0;0.0;0.0;0.0;0.0;0.0;0.01730012334883213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0749746784567833;0.0;0.0;0.0;0.0;0.0;0.2172689288854599;0.0;0.0;0.0;0.06906816363334656;0.0;0.0;0.0;0.0;0.07978006452322006;0.0;0.0;0.0;0.0;0.0;0.0;0.06986312568187714;0.0;0.08701709657907486;0.0
22;cu0050;CUHK;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.09788749366998672;0.0;0.0;0.0;0.0;0.0;0.0;0.11758773773908615;0.0;0.0;0.05811116844415665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28368714451789856;0.0;0.0;0.0;0.0;0.0;0.17857800424098969;0.0;0.0;0.03775263205170632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03078574128448963;0.0;0.0;0.0;0.0;0.19084499776363373;0.0;0.0
23;cu0055;CUHK;2010;0.11461510509252547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06614545732736588;0.0;0.4478029906749725;0.16088737547397616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011104003526270391;0.19142092764377594;0.0;0.0;0.0
