idno,univ,year,date,title,count
cu3552,CUHK,2003,2003-01-28,Group Sense PDA Ltd and Intel Semiconductor Ltd Donate 30 Sets Purposed Built Embedded Development Systems to Boost Research at CUHK,1
pu0733,PolyU,2006,2006-12-04,PolyU President’s Awards honour distinguished staff,1
pu0382,PolyU,2003,2003-11-01,PolyU honours Outstanding Students of the Department of Faculty of Construction and Land Use,1
cu0679,CUHK,2007,2007-01-10,CUHK Launches the 1st JD/MBA Double Degree Programme in Asia,1
hu1310,HKU,2012,2012-01-18,HKU Faculty of Dentistry Dean named a King James IV Professor by Royal College of Surgeons of Edinburgh,1
cu2296,CUHK,2016,2016-07-05,CUHK School of Chinese Medicine and University Library Jointly Present a New Digital Collection ‘Chinese Medicine Texts Collection’ for Public Access,1
cu1021,CUHK,2011,2011-05-05,CUHK Pioneers DNA Chip for Prenatal Diagnosis in HK,1
hu0627,HKU,2007,2007-05-10,"Zen Master the Venerable Thich Nhat Hanh speaks on ""True Power""",1
cu0122,CUHK,2009,2009-11-15,Two CUHK-led Research Projects Made UGC Areas of Excellence,1
pu1101,PolyU,2009,2009-02-03,PolyU helps unleash student&amp;#39;s innovation and entrepreneurship potential,1
cu1627,CUHK,2013,2013-09-17,CUHK Announces Latest Medical Treatment for Minor Stroke,1
cu1456,CUHK,2012,2012-12-19,CUHK Pioneers the Use of a New Non-Invasive Imaging Technology to Measure Fatty Liver - a problem affecting 27% of the adult population in HK  ,1
pu2469,PolyU,2013,2013-02-28,Joint primary School Mathematics Competition comes to a fruitful close,1
pu2514,PolyU,2013,2013-05-14,PolyU launches Executive Diploma in Accountancy Programme,1
cu1581,CUHK,2013,2013-06-26,CUHK-PWH Hybrid Cardiovascular Operating Theatre Officially Opens Multi-functional Setting Enhances Surgical Outcomes,1
pu1007,PolyU,2008,2008-07-07,PolyU and Lane Crawford showcase Hong Kong’s designers of tomorrow,1
cu1321,CUHK,2012,2012-05-29,CUHK Green Pioneer Series CUHK Recommends Hong Kong’s New Air Quality Objectives Should Not Ignore Coarse Particulate Pollutants,1
pu0983,PolyU,2008,2008-04-30,PolyU expertise put to good use in building architectural marvels in Beijing,1
pu2035,PolyU,2011,2011-01-14,PolyU study sheds light on driving behaviour of HK motorcyclists,1
pu1541,PolyU,2006,2006-06-16,SPEED partners with prestigious institutions to groom LLB students,1
cu1262,CUHK,2012,2012-03-04,CUHK I‧CARE Programme Proudly Presents a ‘Floral Festival’ Three Eminent Figures in Arts and Culture to Share Inspiring Stories at University Lectures on Civility ,1
hu1122,HKU,2005,2005-08-16,"HKU Professor Patrick YK Chau won ""The Best Conference Paper Award"" at the 9th Pacific-Asia Conference on Information Systems",1
cu0808,CUHK,2010,2010-04-28,CUHK Celebrates Prof. Yau Shing-tung Being Named Wolf Prize Laureate,1
pu1533,PolyU,2006,2006-05-24,PolyU to raise funds on the green,1
cu1216,CUHK,2011,2011-12-20,CUHK Pioneers MRI Iron Assessment for Thalassemia Children in Southern China,1
hu1037,HKU,2015,2015-10-20,HKU initiates the first large-scale public cardiac screening for first-time marathon runners Hopes to reduce the morbidity and mortality of cardiovascular diseases,1
cu1729,CUHK,2014,2014-01-06,CUHK and Shun Hing Group Present Lecture Series in Arts and Humanities Renowned Picture Book Author Jimmy Liao to Speak on His Passion on Creation  Lecture Relocated due to Oversubscription,1
hu0743,HKU,2010,2010-10-11,HKU Launches the First Cultural Leadership Programme in Asia Expect 100 cultural talents to be nurtured in 5 years,1
hu0439,HKU,2011,2011-09-07,Review Panel set to examine key issues of University event arrangements,1
cu3440,CUHK,2005,2005-11-11,Milestone in the Treatment of Childhood Acute Leukemia in HK,1
pu0722,PolyU,2006,2006-11-29,PolyU excels in building services engineering teaching and research,1
cu1893,CUHK,2014,2014-10-02,Daya Bay Collaboration Releases New Results on ‘Sterile’ Neutrino CUHK-led Hong Kong Team Participate in International Physics Research,1
cu1637,CUHK,2013,2013-09-30,CUHK Faculty of Engineering and Microsoft Research of Hong Kong Jointly Develop WISER to Optimize Indoor Wireless Connectivity Using TV White Spaces,1
pu2063,PolyU,2011,2011-03-04,PolyU Opens its Samsung Digital Lab for Hospitality Technology and New Premises for its School of Hotel and Tourism Management,1
cu3634,CUHK,2006,2006-03-22,CUHK BA Students Participate in Internaltion Competition with Creative Business Plan,1
pu1166,PolyU,2009,2009-05-26,PolyU displays innovative works of renowned textile designer,1
cu0702,CUHK,2007,2007-03-28,Prestigious Award for CUHK Scholar Professor Dennis Lo Bestowed the Cheung Kong Achievement Award,1
cu1682,CUHK,2013,2013-11-08,CUHK Opens S.H. Ho Urology Centre to Promote Earlier Diagnosis and Management of Prostate Cancer to the Territory,1
pu1807,PolyU,2004,2004-07-19,PolyU proves top player in engineering research,1
hu0690,HKU,2008,2008-03-15,International Conference to Explore the Olympics and Asian Sports with Perspectives from Beijing,1
pu2248,PolyU,2012,2012-02-20,"International Conference reflects on ""Vision of Peace"" through film representation",1
cu1819,CUHK,2014,2014-05-23,CUHK Master of Architecture: 18th Graduation Show,1
cu1987,CUHK,2015,2015-03-10,CUHK Study Reveals Peer Support  Can Reduce Hospital Admission of Distressed Diabetes Patients,1
pu6025,PolyU,2014,2014-08-29,Blood Donor Centre Opens at PolyU,1
cu0165,CUHK,2009,2009-09-21,CUHK Accountancy Graduates Swept All Top Awards  in the Latest HKICPA’s QP Final Examination,1
cu3052,CUHK,2006,2006-08-07,CUHK's Department of Economics Releases Survey Results on Business Confidence in June 2006,1
pu2392,PolyU,2012,2012-11-06,PolyU alumni to celebrate 75th Anniversary at Homecoming Fiesta,1
hu0145,HKU,2016,2016-01-08,Launch Ceremony and Press Conference for  “Jockey Club End-of-Life Community Care Project” ,1
cu2124,CUHK,2015,2015-11-13,Children’s Issues Forum: Experts share insights into framing of the long awaited Hong Kong Children Bill,1
hu0904,HKU,2006,2006-08-25,Examination for Registration as a Grade C Electrical Worker,1
hu0432,HKU,2016,2016-03-20,HKU and CUHK hold the 13th Vice-Chancellor's Cup Soccer Match,1
hu0247,HKU,2013,2013-01-09,Major breakthrough in smart grid technology  by HKU/Imperial College London research team  to provide key solution to future renewable energy power systems,1
hu0596,HKU,2010,2010-07-15,New Publication by HKU Paediatricians ‘Childhood Rheumatic Diseases 3 – The Paediatric Diseases You Must Learn’,1
cu2048,CUHK,2015,2015-07-02,CUHK Named World’s Most Impactful Research Institution in Telecoms  Innovative Network Coding Techniques Revolutionize Wireless Communications,1
pu1987,PolyU,2010,2010-10-31,PolyU wins industry’s support to advance cutting-edge technology,1
pu2290,PolyU,2012,2012-04-26,PolyU teams crowned at Inter-universities Sports Competitions,1
pu0921,PolyU,2007,2007-11-15,PolyU strikes new deal with China’s National Sports Training Centre,1
cu0129,CUHK,2009,2009-11-09,Foundation Stone Laying Ceremony for Yasumoto International Academic Park and Appreciation Ceremony of Yasumoto International Exchange Scholarship Scheme,1
pu1826,PolyU,2003,2003-11-18,PolyU's facility management programme wins international accreditation,1
pu2537,PolyU,2013,2013-05-22,PolyU and WU Co-organise Knowledge Management Workshop,1
pu1988,PolyU,2010,2010-11-01,Harvard scholar gives talk on China’s future development,1
cu3095,CUHK,2004,2004-10-27,Sexual dysfunction heralds life threatening complications in diabetic men,1
hu0424,HKU,2014,2014-11-27,HKU Master of Urban Design students and staff win the Grand Winning Entry and Shortlisted Entry of the Kai Tak Fantasy International Ideas Competition ,1
cu3763,CUHK,2006,2006-09-14,Chinese Academy of Engineering Delegates Visit CUHK,1
pu1730,PolyU,2006,2006-08-21,PolyU excels in civil engineering research,1
cu1582,CUHK,2013,2013-06-27,Survey Findgs on Evaluation of HKSAR Government’s Performance in Various Policy Areas Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
cu0561,CUHK,2007,2007-10-16,Four Distinguished Persons Honoured by CUHK,1
pu0880,PolyU,2007,2007-08-16,PolyU’s Faculty of Health and Social Sciences takes part in Hong Kong International Medical and Health Care Fair 2007,1
cu3667,CUHK,2006,2006-09-15,Business Leaders Nurture MBA Students through Elite Mentorship Programme,1
cu1531,CUHK,2013,2013-04-14,"CUHK CLOVER Programme United Local and Non-local Students to Spread Love, Care and Green Concept in Community Supported by CUHK – Hang Seng I‧CARE Local Service Project Scheme ",1
cu2152,CUHK,2015,2015-12-15,The CUHK Library Presents Exhibition on Philippine History The Story of the Making of The Philippines - in Maps and Flags,1
pu1757,PolyU,2005,2005-07-07,Agreement Signing Ceremony between CII-HK and PolyU for Research on Best Practices in Managing Specialist Sub-contracting Performance,1
pu1644,PolyU,2010,2010-02-04,PolyU honours outstanding students of the year,1
cu1857,CUHK,2014,2014-08-08,CUHK Admits Outstanding HKDSE Students,1
pu0912,PolyU,2007,2007-10-31,PolyU Faculty of Engineering holds Graduation Ceremony,1
pu0387,PolyU,2003,2003-10-19,PolyU offers largest number of accredited training programmes on mainland,1
cu1298,CUHK,2012,2012-04-17,The Chinese University of Hong Kong Appoints Prof Liu Yingli as Advisory Board Member of Center BiG ,1
pu2047,PolyU,2011,2011-02-14,PolyU experts raise standard in aero engine maintenance,1
hu0766,HKU,2015,2015-10-30,Africa’s Premier Diva - Angelique Kidjo @ HKU,1
pu1052,PolyU,2008,2008-10-30,PolyU wins Samsung's support to advance hospitality technology,1
cu0290,CUHK,2009,2009-03-02,CUHK Hong Kong Institute of Educational Research Assessing Hong Kong Students’ Literacy from an International Perspective: HKPISA 2009,1
pu2358,PolyU,2012,2012-09-24,PolyU to honour four distinguished personalities at 18th Congregation,1
cu0902,CUHK,2010,2010-11-11,Record breaking placements for CUHK Global Interns,1
pu0388,PolyU,2003,2003-10-13,PolyU and Warwick honour graduates of joint programme,1
pu1031,PolyU,2008,2008-09-16,PolyU names building after caring nonagenarian alumnus,1
cu0785,CUHK,2010,2010-05-31,CUHK Green Campus Wins Gold at 2009 Hong Kong Awards for Environmental Excellence ,1
hu0855,HKU,2009,2009-01-07,HKU Announced 2009 Q1 HK Macroeconomic Forecast,1
pu1205,PolyU,2009,2009-09-16,PolyU and RVC jointly launch HK’s first-ever Veterinary Nursing Degree,1
pu2682,PolyU,2013,2013-12-17,PolyU-developed space tool starts lunar exploration,1
cu2027,CUHK,2015,2015-05-07,CUHK Received Eight Ministry of Education Higher Education Outstanding Scientific Research Output Awards The Highest Share among Hong Kong Institutions,1
cu1851,CUHK,2014,2014-07-28,CUHK Appoints Prof. Victor Chan as Head of Chung Chi College,1
cu1916,CUHK,2014,2014-10-31,Renowned Filmmaker Sylvia Chang Spoke to a Full House on CUHK Campus Today for Shun Hing Lecture in Arts and Humanities,1
cu0098,CUHK,2009,2009-12-15,CUHK Develops a New Pacing Therapy for Patients with Slow Heart Rate to Prevent Heart Failure,1
cu2266,CUHK,2016,2016-05-19,CUHK School of Architecture Presents the 20th Master of Architecture Graduation Show,1
cu0767,CUHK,2010,2010-05-04,CUHK Finds Poor Glycemic Control Increases Cancer Risk which might be Reduced by Insulin Treatment in Chinese Diabetic Patients ,1
pu0329,PolyU,2004,2004-05-07,PolyU names tele-rehabilitation centre after Dr &amp; Mrs Lui Che-woo,1
hu0022,HKU,2014,2014-09-17,"HKU released findings on  “Knowledge, Attitude, Practices about Mental Health at the Hong Kong Workplace” ",1
cu1360,CUHK,2012,2012-07-31,CUHK Proves a Non-invasive Technology Can Successfully Cure Cerebral Arteriovenous Malformation ,1
cu0803,CUHK,2010,2010-07-08,CUHK Discovers Mothers Exposed to Gestational Diabetes Mellitus During Pregnancy can Increase the Risk of Metabolic Syndrome in their Children,1
pu0321,PolyU,2004,2004-06-14,PolyU names building after philanthropist Choi Kai-yau,1
hu1414,HKU,2008,2008-11-13,"HKU Goes Global -- 10% Rise in Outgoing Exchange Students, to 28 Countries",1
pu1531,PolyU,2006,2006-05-22,PolyU scholar named International Scientist of the Year,1
pu0606,PolyU,2005,2005-11-04,"PolyU-affiliated SPEED and HKCC send forth 1,386 graduates",1
pu1097,PolyU,2009,2009-02-02,PolyU Business Students Participated in Community Service,1
hu0441,HKU,2016,2016-01-24,"HKU Science, Mathematics, and Art (SMArt) Project 2016 at HKU",1
pu6216,PolyU,2016,2016-05-10,PolyU develops RFID-based Drug Management and Electronic Nursing Service Management Systems ,1
hu0705,HKU,2016,2016-07-14,Craniofacial and Dental Features May Hold the Key to Diagnosis of Daytime Sleepiness in Adolescents ,1
hu0604,HKU,2004,2004-11-23,Presentation Ceremony of Prizes and Awards for Faculty of Dentistry and Prince Philip Dental Hospital (Press Invitation),1
hu0376,HKU,2007,2007-05-14,The University of Hong Kong – Citibank University Banking Course 2006 – 2007 Graduation Ceremony,1
cu3038,CUHK,2004,2004-10-19,CUHK Consortium Leads the Business Integration of RFID Technologies for Hong Kong,1
pu0824,PolyU,2007,2007-04-19,PolyU to host international conference on evidence-based practice in nursing,1
hu0798,HKU,2015,2015-01-18,Harvard and HKU students collaborate for the first time to host the 11th Harvard Model Congress Asia at HKU ,1
hu0242,HKU,2004,2004-11-19,HKU Holds Award Presentation Ceremony for Excellence in Teaching and Research (Press Invitation),1
hu1192,HKU,2003,2003-10-13,HKU APEC Study Centre Forecasts: Hong Kong is out of recession,1
pu6121,PolyU,2015,2015-06-29,PolyU develops a new method for rapid authentication of edible oils and screening of gutter oils,1
cu0841,CUHK,2010,2010-08-03,CUHK Hong Kong Quality of Life Index:  Quality of Life in Hong Kong  Declines Further  ,1
pu1810,PolyU,2004,2004-06-29,PolyU index: Confidence in housing market improving but incentive to buy still weak,1
pu0564,PolyU,2005,2005-07-14,Maiden Flight: Poster Design Exhibition by multimedia design students,1
cu0459,CUHK,2008,2008-09-28,Top Business Leaders Demonstrate Unfailing Devotion to Nurture  CUHK MBA Students ,1
cu2164,CUHK,2016,2016-01-14,CUHK Hosts Public Seminar on Gold Working Techniques of Ancient China,1
hu0641,HKU,2013,2013-07-11,HKU Faculty of Business and Economics Entrance Scholarship for JUPAS Applicants,1
cu1147,CUHK,2011,2011-10-11,Chinese University of Hong Kong rebrands Faculty of Business Administration Faculty has new logo and will be known as CUHK Business School,1
hu0325,HKU,2005,2005-05-07,US Reliability Engineering Expert to Deliver a William Mong Distinguished Lecture at HKU,1
pu1015,PolyU,2008,2008-08-15,Eminent experts to speak at functional sportswear and sports shoes workshop,1
pu1823,PolyU,2003,2003-12-03,PolyU researchers take National Inventions Exhibition by storm,1
pu1217,PolyU,2009,2009-10-19,Doctoral Alumni provide PolyU Business Undergraduates with Career Development Support,1
cu3493,CUHK,2005,2005-02-17,Two Nobel Laureates Lectures at Chinese University,1
pu1583,PolyU,2009,2009-10-20,PolyU appointed by the World Health Organization (WHO) as host of WHO Collaborating Centre for Community Health Services,1
cu2024,CUHK,2015,2015-05-04,CUHK Hosts Prestigious International Worldwide Universities Network Conference and Annual General Meeting,1
hu0883,HKU,2008,2008-03-30,Harvard and HKU Students meet Underprivileged in HK,1
pu0835,PolyU,2007,2007-05-04,PolyU partners with private hospitals to groom nursing professionals,1
cu1389,CUHK,2012,2012-09-17,CUHK Engineering Professor Du Ruxu Awarded Fellowship by the Society of Manufacturing Engineers ,1
hu0134,HKU,2008,2008-01-22,HKU Salutes Distinguished Academics for Teaching and Research Excellence,1
cu2237,CUHK,2016,2016-04-20,CUHK Jockey Club Initiative Gaia to Hold ‘Environment Fair cum MoCC Roadshow 2016’ to Promote Climate Change and Biodiversity All are Welcome,1
cu3736,CUHK,2004,2004-01-30,The Evolutionary History of the SARS-coronavirus - the complete story,1
hu0024,HKU,2015,2015-09-07,WHO Collaborating Centre for Infectious Disease Epidemiology and Control hosts lecture by Dame Barbara Stocking on “All you ever wanted to know about Ebola”,1
cu0924,CUHK,2010,2010-12-21,"The Chinese University of Hong Kong and IBM Launch Student Information System  to Enhance Student Administrative Services and Advance Learning System serves as a model for next generation, Smarter Education in Hong Kong ",1
cu2131,CUHK,2015,2015-11-20,CUHK International Poetry Nights in Hong Kong 2015 Open for Public Registration,1
pu1486,PolyU,2003,2003-06-10,PolyU to hold Consultation Day for JUPAS applicants,1
hu1139,HKU,2004,2004-11-08,Luncheon Talk - Beyond SARS: Preparing for the Next Epidemic (Press Invitation),1
hu1064,HKU,2010,2010-05-31,HKU Found New Drug to Treat Influenza Research published on ‘Nature Biotechnology’- a World Top Journal,1
hu0830,HKU,2011,2011-10-31,HKU Centenary Celebrations: A 1926 graduation certificate returned to its holder's alma mater,1
pu1534,PolyU,2006,2006-05-25,PolyU vows to help boost tourism in Huangshan,1
cu3458,CUHK,2005,2005-02-24,Normal Range of Cardio-respiratory Fitness for Chinese Adults Established,1
cu2155,CUHK,2015,2015-12-21,CUHK Launches Newborn Add-on Test for Congenital Adrenal Hyperplasia Supported by Joshua Hellmann Foundation for Orphan Disease,1
cu0156,CUHK,2009,2009-10-01,CUHK ISEIS Researcher Wins Best Youth Paper Award in International Conference,1
pu2412,PolyU,2012,2012-11-28,PolyU pays tribute to six distinguished Chinese scholars,1
cu3125,CUHK,2006,2006-01-04,CUHK sets up the Centre for the Studies of Daoist Culture with the support of Daoist Fung Ying Seen Koon,1
hu1295,HKU,2015,2015-04-25,HKU leads the first health study in Asia which shows that long-term exposure to fine particles PM2.5 is associated with mortality in Hong Kong elderly,1
cu1773,CUHK,2014,2014-03-17,CUHK Joins Hands with Local Community to Strengthen Neighbourhood Bonding,1
pu1963,PolyU,2010,2010-09-07,PolyU gears up for further advancement in Space Research,1
cu1613,CUHK,2013,2013-08-28,Survey Findings on Views of Recent Social Confrontations in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
pu2151,PolyU,2011,2011-09-12,PolyU to hold Education Info Days for HKDSE and HKALE applicants,1
pu0312,PolyU,2004,2004-07-08,PolyU's fashion archive and fabric library goes online,1
hu0049,HKU,2011,2011-10-26,HKU Astronomers Discover Complex Organic Matter in the Universe,1
hu1021,HKU,2016,2016-03-13,Asia Launch cum Seminar of the Report Recommendations of the  Commission on a Global Health Risk Framework for the Future — Global Collaborations to Prevent and Combat Infectious Diseases ,1
hu0811,HKU,2015,2015-02-16,Latest research findings on H3N2 influenza virus from HKU,1
cu0729,CUHK,2007,2007-05-27,Discovery Shed New Light on Male Infertility,1
pu0409,PolyU,2003,2003-05-22,PolyU design students showcase their creative talent,1
cu0557,CUHK,2007,2007-10-22,CUHK’s EMBA – Among Top 15 Schools Worldwide No. 1 Independent EMBA in Asia-Pacific Again ,1
hu0755,HKU,2008,2008-02-20,The Medical Faculty welcomes the Appointment of New Dean of Medicine,1
cu0877,CUHK,2010,2010-07-16,CUHK Department of Psychology and International Test Commission Jointly Organize an International Conference on Testing,1
cu0276,CUHK,2009,2009-03-18,CUHK Holds the First Cross-Strait Conference on Spatially Integrated Humanities and Social Sciences,1
cu1117,CUHK,2011,2011-09-05,CUHK Inauguration Ceremony for Undergraduates Held Today,1
hu0225,HKU,2016,2016-01-19,HKU advocates “Quality Face-to-face Communication” to improve family harmony ,1
pu0383,PolyU,2003,2003-10-28,Tourism Ambassador Jackie Chan meets PolyU students,1
pu2623,PolyU,2013,2013-10-16,East Meets West with Two of the Best Hospitality Schools in the World Signing a Student Exchange Programme,1
cu1349,CUHK,2012,2012-07-17,CUHK Shaw College Hosts the Second 'World Youth Leaders Forum' Pulling International Elites to Share Insights into Eradicating Poverty and Inequality of the World ,1
hu1284,HKU,2005,2005-09-05,SHAW PRIZE LECTURE AT HKU,1
pu2131,PolyU,2011,2011-07-26,PolyU hosts the first School Nurses International Conference in Hong Kong,1
hu0027,HKU,2013,2013-07-14,HKU Robotics Team among world’s top nine to enter international Robotics Challenge,1
pu0303,PolyU,2004,2004-08-14,PolyU partners with Sheffield Hallam to nurture talents for IT and business intelligence,1
hu0620,HKU,2003,2003-07-28,HKU's Faculty of Science to organise summer programme for secondary school students,1
pu0926,PolyU,2007,2007-11-20,PolyU unveils new TeleCare Technologies,1
pu2229,PolyU,2012,2012-01-20,PolyU fashion talents present creative works in Knitwear Symphony 2012,1
pu0413,PolyU,2005,2005-06-28,PolyU-HKCyberU launches HK's first Master of Security Management,1
pu2187,PolyU,2011,2011-11-11,PolyU co-hosts Joint International Symposium on Deformation Monitoring,1
cu2307,CUHK,2016,2016-07-20,Tsz Shan Monastery Supports CUHK to Establish 'Ashoka Tree' Youth Personal Growth Programme,1
cu3308,CUHK,2006,2006-05-18,SHKP Nobel Laureates Distinguished Lectures 2006 receives overwhelming response,1
pu1575,PolyU,2009,2009-03-12,PolyU award-winning researches help withstand natural disasters,1
cu1827,CUHK,2014,2014-06-05,"CUHK Gender Research Centre to Hold Workshop on 'Sexual Orientation, Gender Identity and Intersex Status: Different Views and Understandings'",1
cu3753,CUHK,2005,2005-2006,Senior Research Fellowships of Croucher Foundation,1
cu0138,CUHK,2009,2009-10-30,CUHK Groundbreaking Quantum Research A Great Leap in Supercomputer Development,1
hu0454,HKU,2005,2005-05-10,Inauguration Ceremony of a New Centre in Special Education for the Hong Kong University (Press Invitation),1
cu1554,CUHK,2013,2013-05-15,CUHK Jockey Club Initiative Gaia to Hold the Environment and Climate Change Forum Series: Community-based Environmental Education Open to the Public ,1
pu0360,PolyU,2003,2003-12-30,PolyU's optometric experts show their care for children,1
hu0741,HKU,2003,2003-11-11,Press Statement- HKU to Enter a Collaboration Project with the WTO,1
pu1053,PolyU,2008,2008-10-31,PolyU joins force with industry to support Sichuan re-construction,1
cu1961,CUHK,2015,2015-01-28,Survey Findings on Views about the 2015 Policy Address Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
pu2048,PolyU,2011,2011-02-15,PolyU hosted Executive Development Programme in Hospitality - 2011 Hong Kong PolyU Winter School®,1
cu3343,CUHK,2005,2005-03-23,CUHK establishes the Research Clinic for Integrated Medicine,1
cu1464,CUHK,2013,2013-01-09,CUHK holds ‘From the Treasure House: Jewels from the Library of The Chinese University of Hong Kong’ Exhibition to Celebrate its 50th Anniversary,1
cu0176,CUHK,2009,2009-08-25,CUHK ISEIS Students Win Best Student Paper Award in International Conference ,1
hu1429,HKU,2006,2006-10-10,HKU Announced Q4 HK Macroeconomic Forecast,1
hu1080,HKU,2009,2009-11-09,See the World – launching of HKU Study Abroad Fair,1
hu0629,HKU,2003,2003-03-20,HKU 166th Congregation For The Conferment Of Honorary Degrees,1
cu2197,CUHK,2016,2016-03-01,CUHK Establishes MOE Key Laboratory of Regenerative Medicine (The Chinese University of Hong Kong – Jinan University),1
hu0888,HKU,2004,2004-12-13,Dr J. Craig Venter to Deliver the HKU Genome Research Centre Distinguished Lecture (Press Invitation),1
pu1481,PolyU,2003,2003-07-23,"""FabricEye"" helps raise standards for the textile industry",1
pu0651,PolyU,2006,2006-04-25,PolyU-College of Professional and Continuing Education to hold roving exhibitions,1
hu1030,HKU,2012,2012-09-06,HKU Centre for Comparative and Public Law (CCPL) Launches the Hong Kong Human Rights Action Plan 2012 ,1
pu1722,PolyU,2006,2006-01-12,PolyU MBA Programmes Win International Acclaim,1
hu0461,HKU,2013,2013-12-15,HKU appoints new Dean of Dentistry,1
cu1123,CUHK,2011,2011-09-10,'Technologies Enhancing Patient Care in the Community' CUHK Kicks Off Public Education Programme to Showcase Achievements in Computer Assisted Surgery and Clinical Management ,1
pu2371,PolyU,2012,2012-10-13,Secondary School Mathematics and Science Competition comes to fruitful close,1
cu2061,CUHK,2015,2015-07-29,CUHK Professor Dennis Lo as the First Chinese Honoured with AACC Wallace H. Coulter Lectureship Award,1
cu1715,CUHK,2013,2013-12-15,The 5th Global Youth Chinese Literary Award for the New Century ,1
cu1486,CUHK,2013,2013-02-20,World-leading Expert on Psycholinguistics and Cognitive Neuroscience  Prof. Ovid Tzeng Appointed as the Siu Lien Ling Wong Visiting Fellow 2012/2013 of Chung Chi College of CUHK ,1
cu3598,CUHK,2005,2005-08-23,Top CUHK Math graduates got admitted to Harvard and Princeton to further PhD Study,1
pu2433,PolyU,2013,2013-01-02,PolyU and SYSU jointly set up Networked Lab on Creative Applications,1
cu1530,CUHK,2013,2013-04-11,CUHK Presents Anniversary Fair and Public Lecture Series to Celebrate Golden Jubilee Prof. Emily Chan to Share Experience in Promoting Disaster Preparedness for Ethnic Minorities in China Open to the Public ,1
hu1322,HKU,2007,2007-07-12,HKU sets up Working Group to seek improvements in Private Patient Services,1
hu1400,HKU,2010,2010-05-11,HKU Professors Turn Bald to Support Kids with Cancer,1
pu1918,PolyU,2010,2010-06-28,PolyU stages Chinese Opera Charity Night,1
pu2486,PolyU,2013,2013-03-25,PolyU Scholar Named Croucher Senior Research Fellow,1
cu1979,CUHK,2015,2015-03-02,CUHK Professor Dennis Lo Received International Honour for Pioneering Research in Personalized Medicine,1
pu1485,PolyU,2003,2003-06-17,PolyU's textiles and clothing students stage graduation fashion show,1
cu2087,CUHK,2015,2015-10-02,Survey Findings on Views on Property Prices in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
cu1304,CUHK,2012,2012-05-01,The Chinese University of Hong Kong Eleventh Honorary Fellowship Conferment Ceremony,1
cu0426,CUHK,2008,2008-05-21,SHKP and CUHK Present Nobel Laureate Lecture Eminent Professor in Physics Speaks on Science Education in the 21st Century,1
pu1549,PolyU,2006,2006-06-26,PolyU BRE index forecasts a marginal fall in property prices as interest rate increases,1
hu0430,HKU,2006,2006-10-10,HKU Global Alumni Convention,1
cu3739,CUHK,2006,2006-03-16,Forefather of Chinese Market Economy Theories Lectures at CUHK,1
cu2059,CUHK,2015,2015-07-26,CUHK Professor Diana Lee Inducted as Fellow of American Academy of Nursing,1
pu1008,PolyU,2008,2008-07-08,PolyU organises seminar and workshops on capacity building for post-disaster care,1
cu2020,CUHK,2015,2015-04-29,CUHK Presents 2014 Long Service Awards to 105 Members of Staff Two Awardees Share Unforgettable Experience at CUHK,1
cu1176,CUHK,2011,2011-11-12,Opening Ceremony of The 4th Annual Palliative Care Symposium for Health Care Workers in Chinese Population  ,1
cu0991,CUHK,2011,2011-03-17,Vice-Chancellor’s Open Letter Earthquake and tsunami in Japan: CUHK mourns the victims and extends sympathy to the survivors,1
cu3484,CUHK,2004,2004-08-19,CUHK New Method of Monitoring Intraocular Pressure for Glaucoma Patients at Home,1
pu1991,PolyU,2010,2010-11-03,"PolyU’s Sixteenth Congregation salutes 10,200 graduates",1
cu0303,CUHK,2009,2009-02-09,High Court rules in CUHK’s favour on Judicial Review,1
pu0571,PolyU,2005,2005-07-28,New Website launched for Centre for Professional and Business English,1
pu2267,PolyU,2012,2012-03-02,PolyU's Centre for Leadership and Innovation hosts Inaugural Conference,1
hu0951,HKU,2015,2015-04-21,An HKU exhibition to launch on Earth Day to showcase the last 65 million years of Climate Change unfolding lessons for forseeing our future,1
hu0417,HKU,2013,2013-08-07,HKU researchers urge school teachers to learn dental first-aid,1
pu2230,PolyU,2012,2012-01-20,Over 280 PolyU staff members honoured for long service,1
hu0868,HKU,2015,2015-04-22,HKU Youth Quitline appreciates peer smoking cessation counsellors in the 10th anniversary celebration ceremony,1
cu1152,CUHK,2011,2011-10-17,CUHK Joins the Worldwide Universities Network  as the First Hong Kong Member University ,1
hu0326,HKU,2004,2004-05-14,HKU to Launch ETI Consulting Limited (Press Invitation),1
cu0140,CUHK,2009,2009-10-29,CUHK Proves Homocysteine is Highly Associated with Stroke,1
pu1672,PolyU,2007,2007-04-02,PolyU-made space tool sets for Mars again,1
hu0264,HKU,2014,2014-01-29,HKU Baby Scientist Program – Parent Talk The visual world of 0-1 year old babies,1
cu3443,CUHK,2003,2003-04-04,Call for Attention to Psychological Reactions to SARS,1
hu0899,HKU,2014,2014-07-28,"The University of Hong Kong Electrical and Electronic Engineering,  Professor Ron S.Y. Hui to receive the 2015 IEEE William E. Newell Power Electronics Award ",1
pu0873,PolyU,2007,2007-07-10,PolyU’s MA Graduation Fashion Show - Opening Show of HK Fashion Week for Spring/Summer 2008,1
