idno,univ,year,date,title,count
cu1926,CUHK,2014,2014-11-20,The Chinese University of Hong Kong Holds 76th Congregation for the Conferment of Degrees,1
cu3099,CUHK,2005,2005-03-02,CUHK Business Students Won the Championship of the Business Administration Paper Competition,1
cu2142,CUHK,2015,2015-12-03,The Chinese University of Hong Kong Holds 79th Congregation for the Conferment of Degrees,1
pu0809,PolyU,2007,2007-03-20,PolyU kicks off 70th Anniversary Celebrations,1
pu1285,PolyU,2005,2005-05-17,PolyU wins invention awards in Geneva,1
cu2183,CUHK,2016,2016-02-04,Survey Findings on Views on Retirement Protection in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
hu0239,HKU,2014,2014-03-18,HKU confers Honorary Degrees upon five outstanding individuals at the 190th Congregation,1
cu0271,CUHK,2009,2009-03-24,CUHK is the first in Asia to Introduce a New Ablation Technology to Treat Cardiac Arrhythmia,1
cu3231,CUHK,2004,2004-10-14,A Study on Chinese Problem Gamblers,1
cu0765,CUHK,2010,2010-04-29,CUHK Establishes Institute of Global Economics and Finance to Contribute to the Opening Up of China’s Financial System ,1
cu1563,CUHK,2013,2013-05-23,The Ninth Chinese Universities Shakespeare Festival Performance Finals Free Admission for Schools and Public ,1
cu3784,CUHK,2005,2005-09-17,Public Opinions on the development prospect of Hong Kong and Shenzhen,1
pu1242,PolyU,2009,2009-11-17,Young scientist develops new material for bone repair,1
cu1930,CUHK,2014,2014-11-26,CUHK Researchers Lead the World in Breathing Life into Urban Housing Needs,1
pu0420,PolyU,2003,2003-03-12,"PolyU to stage ""Cultures of the World"" exhibition",1
hu1350,HKU,2008,2008-01-15,HKU Professor Ngaiming Mok conferred State Natural Science Award 2007 via nomination by Mainland experts,1
cu0385,CUHK,2008,2008-10-16,Credit Suisse and The Chinese University of Hong Kong to Offer Global Finance Diploma ,1
hu0336,HKU,2015,2015-10-15,HKU botanists discover a new plant growth technology  that may alleviate climate change and food shortage,1
hu0075,HKU,2006,2006-02-07,Spring Reception for the Media 2006 at HKU (in Chinese),1
pu0710,PolyU,2006,2006-11-14,PolyU textile scientist honoured by Sang Ma Trust Fund,1
pu2345,PolyU,2012,2012-09-05,PolyU students excel in International Engineering Design Contest,1
hu0674,HKU,2013,2013-07-05,Exquisite Craftsmanship : Exhibition of the Japanese Cloisonné Enamels and Embroideries of the Meiji Period from the Collections of the Ise Foundation,1
hu0776,HKU,2008,2008-11-05,Exquisite Beauty: The World of Kunqu,1
hu1311,HKU,2013,2013-12-24,Knowledge Exchange Awards 2013 of The University of Hong Kong,1
hu1063,HKU,2010,2010-01-11,HKU Announces 2010 Q1 HK Macroeconomic Forecast,1
pu1182,PolyU,2009,2009-06-23,PolyU design students showcase creative facemasks for Asian population,1
pu1525,PolyU,2006,2006-05-08,PolyU names Phase Seven campus after Dr Lee Shau Kee,1
cu0692,CUHK,2007,2007-02-13,CUHK’s Law Library Named After Dr Lee Quo Wei,1
cu2190,CUHK,2016,2016-02-18,CUHK to Host the Ninth CAS Academicians Lecture Series Open for Public Online Registration,1
hu0647,HKU,2015,2015-11-10,HKU Study: Topical imiquimod just before intradermal trivalent influenza vaccine cross-protects against heterologous non-vaccine and antigenically drifted viruses,1
pu0758,PolyU,2007,2007-01-05,PolyU BRE Index rises marginally despite record high land sale prices in the up-market,1
hu1293,HKU,2014,2014-06-15,HKU Department of Architecture to hold Degree Show 2013-14  (June 21 to July 2),1
hu1371,HKU,2014,2014-01-09,HKU Announces 2014 Q1 HK Macroeconomic Forecast,1
pu0777,PolyU,2007,2007-02-13,Winners of Outstanding PolyU Alumni Award announced,1
hu0541,HKU,2014,2014-02-16,Vice-Chancellor Professor Lap-Chee Tsui presented with the Most Supportive Member Award of HKU Marathon Team,1
cu1864,CUHK,2014,2014-08-21,CUHK Receives Donation from HKJC for Teaching Hospital Project and CUHK Jockey Club Institute of Ageing,1
cu3654,CUHK,2005,2005-05-19,Increasing Salt Intake Predisposes Hong Kong People to Hypertension and Its Complications,1
cu1329,CUHK,2012,2012-06-12,The Future of the Monetary System of Hong Kong,1
pu0607,PolyU,2005,2005-11-04,Jockey Club Summer Internship Programme benefits 846 students,1
cu0060,CUHK,2010,2010-02-05,Former U.S. Ambassador to China Clark T. Randt Speaks on ‘The Emergence of China and U.S. - China Relations’ at CUHK Today,1
pu1990,PolyU,2010,2010-11-03,"PolyU President sees 4-year undergraduate programme a unique opportunity to nurture ""practical dreamers""",1
hu0729,HKU,2005,2005-03-11,2005 Hong Kong Wheelchair Rugby Sevens,1
hu0964,HKU,2009,2009-12-08,HKU awarded Honorary Degree to Nobel Laureate in Chemistry Professor Roger Yonchien Tsien,1
pu2285,PolyU,2012,2012-03-05,Joint efforts to set up Research Centre on Transportation Technology and Railway Engineering,1
hu1020,HKU,2012,2012-08-28,HKU Dean of Science Professor Sun Kwok Elected as Vice President of International Astronomical Union (IAU) Bioastronomy Commission ,1
hu1317,HKU,2013,2013-01-15,HKU Departments of Chemistry &amp; Physiology  Resolves the Secret of Iron Transport in Human,1
pu1940,PolyU,2010,2010-08-02,PolyU Summer Business Camp attracts Greater China students,1
hu0036,HKU,2006,2006-04-28,TWENTY STAFF AT HKU RECEIVED LONG SERVICE AWARDS,1
pu1867,PolyU,2010,2010-03-29,PolyU hosts International Symposium of Intimate Apparel,1
pu1171,PolyU,2009,2009-06-01,Nobel Laureate speaks on the development of the visual system,1
cu0128,CUHK,2009,2009-11-10,Citibank Launches University Banking Course 2009-2010 with The Chinese University of Hong Kong Admission further extends to all non-final year undergraduates and postgraduates of CUHK,1
cu3097,CUHK,2005,2005-06-02,CUHK and the University of Aberdeen Set Milestone in Collaboration        2   June 2005 The   Chinese University of Hong Kong and the University of Aberdeen   Set Milestone in Collaboration    The Chinese University of Hong Kong (CUHK) and the University   of Aberdeen today (,1
pu2124,PolyU,2011,2011-07-11,PolyU's Optical Sensor Technology put to good use in High-Speed Rail,1
pu1681,PolyU,2006,2006-11-27,PolyU scholar elected World President of The Textile Institute,1
pu1746,PolyU,2005,2005-11-08,PolyU achieves breakthrough in glaucoma detection,1
cu2080,CUHK,2015,2015-09-16,CUHK Introduces High Frequency Oscillations to Determine Resection Margin Increases the Effectiveness of Complex Epilepsy Surgery by around 30%,1
hu1082,HKU,2011,2011-10-21,The University of Hong Kong Ranked Asia’s Top University in Arts and Humanities in the Times Higher Education World University Rankings 2011-2012,1
pu0617,PolyU,2005,2005-12-14,PolyU honours outstanding staff,1
pu0753,PolyU,2007,2007-01-02,PolyU invites nominations for Sixth Outstanding Alumni Award,1
cu1856,CUHK,2014,2014-08-06,Novel Face Recognition System Developed by CUHK Faculty of Engineering Achieves 99.15% Accuracy,1
cu1978,CUHK,2015,2015-03-01,CUHK Engineering Professor Pioneers a Step toward High-energy Redox Flow Batteries,1
pu6125,PolyU,2015,2015-07-21,PolyU establishes Hong Kong's first breast milk nutrient database,1
cu3162,CUHK,2003,2003-06-03,Hong Kong Should Exploit Trading Opportunities,1
cu3306,CUHK,2003,2003-05-03,"CUHK Architecture Department Shows ""Wind Curtain"" Effect in Amoy Garden Accentuates Vertical Spread of Viruses",1
hu0339,HKU,2003,2003-09-05,Science Magazine Accepts the Paper of HKU's Microbiology Researchers,1
pu1997,PolyU,2010,2010-11-10,"PolyU and Squina ""Loving Heart"" Volunteer Team join hands to improve the elderly's home environment",1
cu1354,CUHK,2012,2012-07-26,The Chinese University Recruits The Largest Number of Candidates with Grade A in Five or Six Subjects in Hong Kong’s Last HKALE  Exam,1
cu1623,CUHK,2013,2013-09-12,CUHK Faculty of Engineering Innovates Magnetic Microrobots for Cells and Drugs Delivery in Human Body with Overseas Research Teams,1
hu0408,HKU,2008,2008-02-17,HKU to award four Honorary Degrees,1
cu1154,CUHK,2011,2011-10-19,"CUHK Establishes Institute of Environment, Energy and Sustainability Spearheading Environmental Research and Knowledge Transfer Aspiring to be a Regional Leader to Promote Sustainability ",1
cu2245,CUHK,2016,2016-04-26,CUHK Pao So Kok Macular Disease Treatment and Research Centre Opens Study Sees Correlation between Protein Angiopoietin2 and Wet Age-related Macular Degeneration,1
pu1569,PolyU,2009,2009-10-29,PolyU School of Hotel &amp; Tourism Management's World Leadership Position Strengthened,1
cu2151,CUHK,2015,2015-12-14,CUHK Jockey Club Museum of Climate Change Presents Premiere of The Drama of Climate Change,1
cu1137,CUHK,2011,2011-10-03,CUHK New Four-year Science Curriculum Nurtures All-Rounded Science Talents ,1
hu1259,HKU,2005,2005-07-25,"Summer Programme by HKU's Faculty of Science for secondary school students from UK, USA, Canada, Mainland China, Macau &amp; HK (Press Invitation)",1
pu1690,PolyU,2006,2006-10-05,PolyU wins five awards in 16th China Invention Exhibition,1
cu3452,CUHK,2005,2005-07-25,CUHK stages K. Wah Hotel and Tourism Forum,1
cu3475,CUHK,2006,2006-2007,Three CUHK Scholars Named Croucher Senior Research Fellow,1
hu0554,HKU,2006,2006-05-18,HKU Internationalization Reaches New Height With Exchange Student Residence at UBC,1
pu1572,PolyU,2009,2009-05-26,PolyU innovations shine in Geneva’s Invention Expo,1
cu0439,CUHK,2008,2008-05-03,"Launch of “Bowel Cancer in Hong Kong: Education, Promotion and Screening” Project  to Raise Public Awareness on Bowel Health",1
cu1327,CUHK,2012,2012-06-07,CUHK Convocation Raised over HK$1 Million for Institute of Chinese Medicine to Acquire New Research Equipment,1
pu1671,PolyU,2007,2007-04-23,PolyU BRE Index survey indicates positive market outlook,1
hu0291,HKU,2011,2011-02-17,HKU Salutes Distinguished Academics for Teaching and Research Excellence,1
cu1756,CUHK,2014,2014-02-24,CUHK Develops Research-based Early Literacy Website for Chinese Children Offering Effective Learning Tips and Games to Facilitate Chinese Reading and Writing,1
cu0262,CUHK,2009,2009-04-01,CUHK Joins USRA as the First Asian Member University,1
hu0740,HKU,2004,2004-11-20,HKU's Faculty of Education is to Hold its Graduation Ceremony 2004 (Press Invitation),1
cu3554,CUHK,2003,2003-05-30,CUHK Holds Its Second Honorary Fellowship Conferment Ceremony,1
pu1609,PolyU,2008,2008-11-20,PolyU snatches six awards in the 6th International Exhibition of Inventions,1
cu2047,CUHK,2015,2015-06-29,Survey Findings on the HKSAR Government’s Popularity in June 2015 Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
cu1717,CUHK,2013,2013-12-17,CUHK Faculty of Science Launches New 2-Year Undergraduate Programme for Associate Degree/Higher Diploma Holders,1
pu1432,PolyU,2006,2006-08-14,PolyU and HUST jointly hold Graduation Ceremony,1
cu0897,CUHK,2010,2010-11-14,CUHK ISEIS PhD Student Wins the Best Young Author Award at ACRS,1
pu1633,PolyU,2008,2008-04-14,PolyU hospitality and tourism expert accorded double honours,1
pu1897,PolyU,2010,2010-06-01,PolyU announces appointment of Vice President (Research Development),1
