	idno	univ	year	date	title	count	0	2	4	1	3	6	7	9	8	5
80	hu0319	HKU	2013	2013-11-19	HKU new Vice-Chancellor to assume office in April 2014	1	0.14243977	0.0	0.8511643	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	pu1791	PolyU	2004	2004-09-23	PolyU nurtures entrepreneurial spirit of students	1	0.0	0.0	0.86026627	0.08111887	0.0	0.0	0.0	0.0	0.053817708	0.0
82	cu1833	CUHK	2014	2014-06-23	CUHK Hosts Academic Conference on Life Education this Saturday Open to Teachers and Education Practitioners	1	0.11699339	0.45211637	0.23205279	0.0	0.045587055	0.0	0.15173352	0.0	0.0	0.0
83	hu0221	HKU	2009	2009-02-09	2,200 Strong HKU Marathon Team – We won again!	1	0.0	0.0	0.7407552	0.19901617	0.0	0.0	0.0	0.0	0.0	0.057255436
84	pu1696	PolyU	2006	2006-07-10	PolyU develops intelligent dressing mirror and fitting room	1	0.0	0.32984865	0.27112097	0.08583454	0.31030458	0.0	0.0	0.0	0.0	0.0
85	hu1027	HKU	2005	2005-01-24	HKU Faculty of Engineering Mentorship Day for Year 1 students (Press Invitation)	1	0.0	0.0	0.10691794	0.7861389	0.0	0.0	0.081595145	0.0	0.0	0.024444005
86	cu3711	CUHK	2005	2005-03-30	Sir T L Yang and Dr Anthony Neoh SC at the helm of the CUHK Law School	1	0.0	0.0	0.0	0.0	0.0	0.0	0.20634478	0.79131603	0.0	0.0
87	cu1542	CUHK	2013	2013-04-24	HK-PISA Centre of CUHK Launches the ‘Longitudinal Study of Adolescents in Hong Kong’ to Analyze Students' Educational and Career Expectations 	1	0.0	0.045145083	0.0	0.093761005	0.74857485	0.05772258	0.053787354	0.0	0.0	0.0
88	pu1436	PolyU	2008	2008-07-17	PolyU's environmental improvement project receives support of HSBC	1	0.0	0.0	0.0	0.0	0.8926306	0.0	0.08873374	0.0	0.0	0.0
89	cu0751	CUHK	2007	2007-06-07	Mr. Li Weibo Donates HK$30 million to The Chinese University of Hong Kong	1	0.18273245	0.0	0.4409043	0.0	0.37421125	0.0	0.0	0.0	0.0	0.0
90	cu1646	CUHK	2013	2013-10-07	CUHK Undergraduate Students Win Silver Medal at iGEM Asia Heading to US Next Month for World Championship	1	0.4040088	0.5909055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	hu0960	HKU	2016	2016-06-16	HKU President attends the 7th Annual China-U.S. High-Level Consultation on People-to-People Exchange in Beijing	1	0.72126806	0.0	0.0	0.27520427	0.0	0.0	0.0	0.0	0.0	0.0
92	cu3631	CUHK	2005	2005-08-08	Prime Minister Shaukat Aziz of Pakistan Lectures at the Chinese University	1	0.49405506	0.0	0.47992173	0.0	0.0	0.0	0.0	0.0	0.024204332	0.0
93	cu3498	CUHK	2004	2004-03-22	Survey Results on the public's perceptions on recovered SARS patients Released	1	0.3689784	0.0	0.0	0.0	0.08657419	0.0	0.0	0.54271466	0.0	0.0
94	pu6165	PolyU	2015	2015-11-12	HKU &amp; PolyU announce the establishment of Respiratory Virus Research Foundation	1	0.0	0.0	0.0849757	0.7064794	0.0	0.0	0.0	0.0	0.0	0.20481375
95	hu0836	HKU	2007	2007-03-20	Council Accepts Resignation of Dean of Medicine	1	0.0	0.0	0.0	0.15812257	0.0	0.0	0.5941372	0.18105288	0.0	0.06563527
96	pu2572	PolyU	2013	2013-07-08	PolyU Launches Tomorrow's Guestrooms at Hotel ICON	1	0.08827995	0.0	0.37118387	0.5306499	0.0	0.0	0.0	0.0	0.0	0.0
