,author,title,gender,sizecat,canonicity,timeslot
FRA1003_Boisgobey-126,"Boisgobey, Fortuné du",Double-blanc : ELTeC edition,M,long,low,T3
FRA1003_Boisgobey-127,"Boisgobey, Fortuné du",Double-blanc : ELTeC edition,M,long,low,T3
FRA1005_Boisgobey-000,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-001,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-002,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-003,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-004,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-005,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-006,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-007,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-008,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-009,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-010,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-011,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-012,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-013,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-014,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-015,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-016,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-017,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-018,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-019,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-020,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-021,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-022,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-023,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-024,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-025,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-026,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-027,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-028,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-029,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-030,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-031,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
